S.No,TestSuiteName,Assigned to 
,ATPApplySurfaceStyleMCATs,
,ATPApplySurfaceStyleRulesetMCATs,
,ATPAskingFilterMCATs,
,ATPClaimToWBSProjectMCATs,
,ATPClippingMCATs,
,ATPCompoundFilterMCATs,
,ATPFilterByAdvancedPropertiesMCATs,
,ATPFilterByDirectPropertiesMCATs,
,ATPFilterByObjectTypeMCATs,
,ATPImportSurfaceStyleMCATs,
,ATPManageSurfaceStyleMCATs,
,ATPManageSurfaceStyleRulesMCATs,
,ATPOptionsCommandMCATs,
,ATPSketchingConstraintsMCATs,
,ATPSketchingGeometriesMCATs,
,ATPSketchingModifyMCATs,
,ATPSpreadsheetWrapperLTUnitTests,
,ATPStagingMCATs,
,ATPTransformHandleMCATs,
,ATPWBSProjectMCATs,
